,0,1,,ç∑,ìÒèÊ,MSE,RMSE
91,9.148050352,32.63289047,,-23.48484012,551.5377155,,
92,15.62868519,31.58961831,,-15.96093312,254.7513861,,
93,11.1608084,13.69585132,,-2.535042921,6.42644261,,
94,14.50893972,16.95526552,,-2.4463258,5.984509921,,
95,25.21888023,53.85405791,,-28.63517767,819.9734003,,
96,43.62609335,35.13588984,,8.490203515,72.08355572,,
97,7.05E-08,6.28E-07,,-5.57738E-07,3.11072E-13,,
98,0.147456268,8.48E-07,,0.14745542,0.021743101,,
99,6.722185625,1.20E-06,,6.722184422,45.1877634,,
100,11.59335812,20.97665756,,-9.383299436,88.04630831,,
101,8.831307898,18.27882441,,-9.447516517,89.25556834,,
102,0.125099132,8.06E-06,,0.125091076,0.015647777,,
103,11.06267649,22.76105937,,-11.69838288,136.8521619,,
104,10.93082311,8.736514982,,2.194308127,4.814988155,,
105,27.87795752,33.3615967,,-5.48363918,30.07029865,,
106,18.76830909,10.74673734,,8.021571753,64.34561338,,
107,2.99E-06,2.994578478,,-2.994575493,8.967482382,,
108,4.062958909,1.57E-06,,4.062957338,16.50762233,,
109,8.700818799,4.322783702,,4.378035098,19.16719132,,
110,2.682129967,14.43527815,,-11.75314818,138.1364922,,
111,4.54E-07,2.415283497,,-2.415283043,5.83359218,,
112,1.83E-07,10.28586163,,-10.28586145,105.7989457,,
113,1.843975918,28.6991458,,-26.85516989,721.2001496,,
114,8.855280288,8.867861517,,-0.012581229,0.000158287,,
115,18.3669727,6.710998108,,11.65597459,135.8617437,,
116,2.746377525,1.15E-05,,2.74636603,7.542526371,,
117,1.10E-06,8.33E-07,,2.67137E-07,7.13624E-14,,
118,5.957034174,6.356188549,,-0.399154374,0.159324214,,
119,7.578125987,6.813847599,,0.764278388,0.584121455,,
120,0.687479442,9.463672019,,-8.776192577,77.02155615,,
121,2.921976262,4.123513325,,-1.201537063,1.443691315,,
122,1.03E-07,8.041093289,,-8.041093187,64.65917964,,
123,0.716767956,19.33317682,,-18.61640886,346.5706789,,
124,1.98E-06,2.18717599,,-2.187174012,4.78373016,,
125,3.784626888,2.72E-06,,3.784624164,14.32338006,,
126,1.02E-06,0.166765782,,-0.166764757,0.027810484,,
127,7.414417244,7.710256207,,-0.295838962,0.087520692,,
128,1.775190215,2.392631838,,-0.617441624,0.381234159,,
129,9.300469952,1.385398025,,7.915071927,62.6483636,,
130,34.16148379,20.79732783,,13.36415596,178.6006645,,
