,0,1,,ç∑,ìÒèÊ,ìÒèÊòa,MSE,RMSE
89,2.974219656,1.16E-06,,2.974218494,8.845975649,,,
90,11.82932665,17.91945957,,-6.090132913,37.0897189,,,
91,9.855639196,32.63289047,,-22.77725128,518.8031758,,,
92,26.95942698,31.58961831,,-4.630191334,21.43867179,,,
93,0.089460644,13.69585132,,-13.60639067,185.1338672,,,
94,37.77430707,16.95526552,,20.81904155,433.4324909,,,
95,65.03704678,53.85405791,,11.18298887,125.0592401,,,
96,69.0488256,35.13588984,,33.91293576,1150.087212,,,
97,-22.57530996,6.28E-07,,-22.57531059,509.6446481,,,
98,-21.65159149,8.48E-07,,-21.65159234,468.7914509,,,
99,-7.227487935,1.20E-06,,-7.227489138,52.23659924,,,
100,35.53842596,20.97665756,,14.56176841,212.0450991,,,
101,8.247454486,18.27882441,,-10.03136993,100.6283827,,,
102,-26.47761807,8.06E-06,,-26.47762613,701.0646853,,,
103,1.111190727,22.76105937,,-21.64986864,468.7168121,,,
104,26.03005907,8.736514982,,17.29354409,299.0666672,,,
105,68.20225966,33.3615967,,34.84066296,1213.871795,,,
106,42.64747341,10.74673734,,31.90073607,1017.656962,,,
107,-12.74676573,2.994578478,,-15.74134421,247.7899176,,,
108,-8.570185758,1.57E-06,,-8.570187329,73.44811085,,,
109,7.790783546,4.322783702,,3.467999845,12.02702292,,,
110,11.00734415,14.43527815,,-3.427934,11.75073151,,,
111,-8.05941174,2.415283497,,-10.47469524,109.7192403,,,
112,-32.23941781,10.28586163,,-42.52527944,1808.399391,,,
113,-20.56789995,28.6991458,,-49.26704575,2427.241797,,,
114,2.520899658,8.867861517,,-6.346961859,40.28392484,,,
115,27.70733205,6.710998108,,20.99633394,440.846039,,,
116,-15.52725577,1.15E-05,,-15.52726727,241.0960288,,,
117,-4.780343643,8.33E-07,,-4.780344476,22.85169331,,,
118,9.963226367,6.356188549,,3.607037819,13.01072182,,,
119,34.07356919,6.813847599,,27.25972159,743.0924214,,,
120,5.176567758,9.463672019,,-4.287104262,18.37926295,,,
121,45.00102973,4.123513325,,40.87751641,1670.971348,,,
122,-16.86812943,8.041093289,,-24.90922272,620.4693764,,,
123,0.642350561,19.33317682,,-18.69082626,349.3469861,,,
124,-13.76270915,2.18717599,,-15.94988514,254.3988359,,,
125,-7.657938925,2.72E-06,,-7.657941649,58.6440703,,,
126,3.074288814,0.166765782,,2.907523032,8.453690181,,,
127,25.45008446,7.710256207,,17.73982825,314.7015063,,,
128,7.999170553,2.392631838,,5.606538714,31.43327635,,,
129,33.01952315,1.385398025,,31.63412513,1000.717873,,,
130,62.73291915,20.79732783,,41.93559132,1758.593819,,,
131,30.73876583,12.30442291,,18.43434292,339.8249988,,,
132,-2.449229991,8.133673446,,-10.58290344,111.9978452,,,
133,4.72379143,21.47764222,,-16.75385079,280.6915162,,,
134,-22.16685297,21.25027536,,-43.41712833,1885.047032,,,
135,10.67329176,23.91525927,,-13.24196751,175.3497035,,,
136,17.81027942,21.78650405,,-3.976224631,15.81036232,,,
137,35.44685602,13.29722318,,22.14963285,490.6062352,,,
138,35.90410516,14.6083466,,21.29575856,453.5093327,,,
139,53.21353236,21.34588241,,31.86764995,1015.547113,,,
140,95.4887608,74.95791806,,20.53084274,421.5155037,,,
141,46.23474081,41.16246409,,5.072276728,25.72799121,,,
142,16.33301532,52.04712484,,-35.71410952,1275.497619,,,
143,15.96779686,45.80140514,,-29.83360828,890.044183,,,
144,8.668030913,48.17696257,,-39.50893165,1560.95568,,,
145,23.24800898,38.02017609,,-14.77216711,218.2169212,,,
146,36.58992395,62.43654957,,-25.84662562,668.0480557,,,
147,56.90262272,59.7039437,,-2.801320977,7.847399217,,,
148,65.82696769,62.48078388,,3.346183815,11.19694612,,,
149,66.79766305,65.35192703,,1.445736016,2.090152628,,,
150,48.19678729,44.52446012,,3.672327168,13.48598683,,,
151,38.56878884,50.63940694,,-12.07061811,145.6998215,,,
152,19.7451799,71.14510406,,-51.39992415,2641.952203,,,
153,8.238175164,58.74320961,,-50.50503444,2550.758504,,,
154,-1.073090912,30.62438874,,-31.69747965,1004.730216,,,
155,27.25800489,44.21573638,,-16.95773149,287.5646573,,,
156,77.65124862,52.17421666,,25.47703196,649.0791573,,,
157,30.37064696,35.19624665,,-4.825599688,23.28641235,,,
158,85.76255856,66.38551329,,19.37704527,375.4698834,,,
159,14.1857698,35.76654178,,-21.58077197,465.729719,,,
160,40.97217436,36.1587726,,4.813401758,23.16883649,,,
161,32.37141456,30.37827411,,1.993140444,3.972608831,,,
162,79.80107202,72.16836465,,7.632707366,58.25822173,,,
163,28.13153995,77.96649804,,-49.83495809,2483.523048,,,
164,58.63870345,22.65809586,,35.98060759,1294.604123,,,
165,65.48327221,45.27421148,,20.20906072,408.4061353,,,
166,82.81189906,43.32962067,,39.48227838,1558.850306,,,
167,82.52204658,51.83455487,,30.68749171,941.7221474,,,
168,57.01519189,16.88219882,,40.13299307,1610.657133,,,
169,13.94847269,17.32848211,,-3.380009419,11.42446367,,,
170,38.42890245,24.92856929,,13.50033316,182.2589954,,,
171,37.16704334,23.97475929,,13.19228405,174.0363584,,,
172,29.11454226,21.81509011,,7.299452152,53.28200172,,,
173,27.74037023,32.03759344,,-4.297223214,18.46612735,,,
174,11.1997695,60.39485586,,-49.19508636,2420.156522,,,
175,0.823446619,14.22750539,,-13.40405877,179.6687916,,,
176,35.59977763,32.83844326,,2.761334367,7.624967488,,,
177,81.7044479,18.42640228,,63.27804562,4004.111057,,,
178,57.79354326,16.8376035,,40.95593976,1677.389002,,,
179,34.419182,19.14134175,,15.27784025,233.4124026,,,
180,35.30498125,14.28832726,,21.01665398,441.6997447,,,
181,47.90720531,16.65230743,,31.25489788,976.8686412,,,
182,28.86371891,29.937845,,-1.074126084,1.153746844,,,
183,7.66946876,34.09543609,,-26.42596733,698.3317491,,,
184,-21.50145309,9.285330608,,-30.7867837,947.8260503,,,
185,-8.095644084,8.43E-07,,-8.095644927,65.53946679,,,
186,-3.255743724,30.26775773,,-33.52350145,1123.82515,,,
187,68.37505818,21.33407373,,47.04098444,2212.854217,,,
188,74.8524286,10.18067726,,64.67175134,4182.435421,,,
189,38.23323358,16.6100685,,21.62316508,467.561268,,,
190,23.86610676,5.35159343,,18.51451333,342.787204,,,
191,41.8842093,7.275895332,,34.60831397,1197.735396,,,
192,13.72283731,16.03488885,,-2.312051534,5.345582296,,,
193,-7.921655713,29.93575626,,-37.85741198,1433.183642,,,
194,-73.18684174,6.568185766,,-79.75502751,6360.864413,,,
195,-51.31089763,1.59E-07,,,,,,
196,-73.18684174,4.683768354,,,,,,
197,-7.921655713,6.039992381,,,,,,
198,13.72283731,3.780803172,,,,,,
199,41.8842093,14.173629,,,,,,
200,23.86610676,0.238966198,,,,,,
201,38.23323358,4.847361057,,,,,,
202,74.8524286,4.148242169,,,,,,
203,68.37505818,10.97904063,,,,,,
204,-3.255743724,1.774311739,,,,,,
205,-8.095644084,7.97E-07,,,,,,
206,-21.50145309,6.184922614,,,,,,
207,7.66946876,4.003905244,,,,,,
208,28.86371891,3.391846137,,,,,,
209,47.90720531,1.224762005,,,,,,
210,35.30498125,0.002574392,,,,,,
211,34.419182,0.002574392,,,,,,
212,57.79354326,0.002574392,,,,,,
213,81.7044479,0.002574392,,,,,,
214,35.59977763,0.002574392,,,,,,
