,0
0,0.007839420747209398
1,0.007839420747209398
2,0.007839420747209398
3,0.007839420747209398
4,0.007839420747209398
5,0.007839420747209398
6,0.007839420747209398
7,0.007839420747209398
8,2.999507239882316e-07
9,1.764743094562655
10,2.599845360341018
11,5.9128183800730865
12,1.1427283710505986e-05
13,3.511465618393602
14,0.0011570760763310733
15,4.2754729934360514e-07
16,1.5711791281159013
17,4.4974728509446864e-08
18,7.156487069667846
19,1.4062288417659305
20,4.466047170198038e-07
21,4.109192839364005e-06
22,1.0729097403976281e-05
23,1.85872157034497e-07
24,8.950810752956418e-07
25,5.248567159849267
26,5.8824767674905556e-08
27,3.035616954655541e-07
28,1.254364170329586e-06
29,8.446743673759272e-08
30,3.5430848447474334e-07
31,1.5880668759650862
32,1.9128436063294219
33,1.6669190822046955e-07
34,1.1183798140051101e-06
35,2.567294965975652
36,0.9355490173465355
37,1.1632444161133458e-07
38,0.46969868115451413
39,0.9280841223344406
40,7.584265574669958e-08
41,2.7912045873335707
42,1.9118518946079795e-06
43,5.756676078901093e-08
44,4.2166482524035186e-07
45,4.7633893426777675e-07
46,1.071391059221646e-06
47,0.81075063206953
48,8.210954012428352e-07
49,4.1431387545012054e-07
50,5.289279029743562
51,3.687220626099719e-07
52,0.007839420747209398
53,0.007839420747209398
54,0.007839420747209398
55,0.007839420747209398
56,0.007839420747209398
57,0.007839420747209398
58,0.007839420747209398
59,0.007839420747209398
60,0.007839420747209398
61,0.007839420747209398
62,0.007839420747209398
63,0.007839420747209398
64,8.173833044349163e-07
65,4.943500382917039e-07
66,5.189217593290241e-07
67,0.7577012513928477
68,0.007839420747209398
69,0.007839420747209398
70,0.007839420747209398
71,0.007839420747209398
72,0.007839420747209398
73,0.007839420747209398
74,0.007839420747209398
75,0.007839420747209398
76,0.007839420747209398
77,0.007839420747209398
78,0.007839420747209398
79,0.007839420747209398
80,0.007839420747209398
81,0.007839420747209398
82,0.007839420747209398
83,0.007839420747209398
84,0.007839420747209398
85,0.007839420747209398
86,0.007839420747209398
87,0.007839420747209398
88,0.007839420747209398
89,0.007839420747209398
90,0.007839420747209398
91,0.007839420747209398
92,0.007839420747209398
93,0.007839420747209398
94,0.007839420747209398
95,0.007839420747209398
