2018/10/16/14:35:05.113,2018/10/16/14:35:06.712,2018/10/16/14:35:08.695,2018/10/16/14:35:10.311,2018/10/16/14:35:12.647,2018/10/16/14:35:14.231
-526,-365,-11,-7,507,352
-499,-364,-550,-382,-499,-364
