2018/10/26/11:39:10.532,2018/10/26/11:39:12.329,2018/10/26/11:39:14.204,2018/10/26/11:39:16.063,2018/10/26/11:39:17.861,2018/10/26/11:39:19.376,2018/10/26/11:39:21.094,2018/10/26/11:39:22.875,2018/10/26/11:39:24.641,2018/10/26/11:39:26.375,2018/10/26/11:39:27.797,2018/10/26/11:39:29.469,2018/10/26/11:39:31.156,2018/10/26/11:39:32.828,2018/10/26/11:39:34.500,2018/10/26/11:39:35.860,2018/10/26/11:39:37.500,2018/10/26/11:39:39.141,2018/10/26/11:39:40.766,2018/10/26/11:39:42.360,2018/10/26/11:39:43.703,2018/10/26/11:39:45.281,2018/10/26/11:39:46.859,2018/10/26/11:39:48.453,2018/10/26/11:39:50.031
526,283,11,-263,-507,-416,-212,8,228,432,365,191,7,-177,-352,-304,-152,6,164,316,278,144,5,-133,-268
-499,-536,-550,-536,-499,-423,-444,-452,-444,-423,-364,-378,-382,-378,-364,-319,-328,-331,-328,-319,-283,-289,-291,-289,-283
