2018/10/17/16:18:35.349,2018/10/17/16:18:37.116,2018/10/17/16:18:38.949,2018/10/17/16:18:40.782,2018/10/17/16:18:42.550,2018/10/17/16:18:44.015,2018/10/17/16:18:45.698,2018/10/17/16:18:47.415,2018/10/17/16:18:49.131,2018/10/17/16:18:50.815,2018/10/17/16:18:52.214,2018/10/17/16:18:53.847,2018/10/17/16:18:55.497,2018/10/17/16:18:57.147,2018/10/17/16:18:58.780,2018/10/17/16:19:00.129,2018/10/17/16:19:01.713,2018/10/17/16:19:03.313,2018/10/17/16:19:04.913,2018/10/17/16:19:06.496,2018/10/17/16:19:07.796,2018/10/17/16:19:09.346,2018/10/17/16:19:10.896,2018/10/17/16:19:12.462,2018/10/17/16:19:14.012
526,283,11,-263,-507,-416,-212,8,228,432,365,191,7,-177,-352,-304,-152,6,164,316,278,144,5,-133,-268
-499,-536,-550,-536,-499,-423,-444,-452,-444,-423,-364,-378,-382,-378,-364,-319,-328,-331,-328,-319,-283,-289,-291,-289,-283
